Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total,z_score,Anomaly
1901,13.11660194,0.0,0.0,3.949669123,17.13979103,640.7140364,888.3696921,545.0457959,64.27151334,9.871696144,0.0,0.0,2182.478796,0.026934294026064915,False
1902,0.0,0.0,0.0,0.0,0.355000585,247.9987823,408.4337298,566.5958631,688.9134546,28.65409204,0.488864213,19.52654728,1960.966334,-0.388455630200938,False
1903,0.0,0.0,0.844034374,0.0,220.5687404,370.8490478,902.4478963,602.4208281,264.589816,157.8928768,0.0,0.0,2519.61324,0.6591436509311085,False
1904,0.0,0.0,11.38176918,0.0,0.0,723.081969,390.8867992,191.5819273,85.70475449,38.67994848,0.0,0.0,1441.317168,-1.3629246318111738,False
1905,0.662560582,1.713451862,0.0,0.0,0.0,123.8708922,581.8279747,167.3821495,172.2977226,7.365923628,24.90357515,0.0,1080.02425,-2.0404370231084763,True
1906,0.0,3.306694746,0.0,0.0,0.0,321.6451208,804.3841046,539.0578839,108.8490993,0.12954931,0.0,0.0,1777.372453,-0.7327389613894624,False
1907,2.517730236,2.979146957,0.0,6.936270356,0.0,631.6770351,1351.896766,464.4788589,50.08811502,7.840675861,0.0,0.0,2518.414598,0.6568959046641043,False
1908,1.780359969,2.197116375,0.291248083,0.0,0.350077391,333.9860398,897.4833014,445.8703425,215.1198735,19.52657309,0.0,0.0,1916.604932,-0.4716440849226575,False
1909,0.0,0.0,0.0,0.780103743,0.0,643.8268245,983.0909722,331.57869,517.7304169,0.0,0.0,0.0,2477.007007,0.5792465664164322,False
1910,0.0,0.0,0.0,0.0,3.047778606,468.0550587,289.0568811,774.627555,264.4049891,79.46544719,5.167580098,0.0,1883.82529,-0.5331139132277046,False
1911,0.227008879,0.53004843,0.0,0.0,2.383748874,300.6976896,392.9537596,549.4740089,135.1086711,0.19888556,1.511257261,0.0,1383.085078,-1.4721240115403378,False
1912,0.0,0.0,0.0,0.0,5.128592014,324.0946167,751.1886484,347.8472704,115.5728259,33.9651067,93.63337326,0.0,1671.430433,-0.9314061030162645,False
1913,0.0,0.349497706,0.0,0.0,0.0,844.5721662,875.4857802,175.5874999,169.9496681,78.29218894,0.0,0.0,2144.236801,-0.04477877918847672,False
1914,0.0,3.104829073,0.0,0.349497706,0.0,580.5992339,942.6160994,503.3194993,633.1839804,3.900766484,5.395609409,0.0,2672.469516,0.9457864715289936,False
1915,0.0,12.03299564,18.2529965,0.205113232,1.966960788,960.0481258,374.4206178,219.7018269,288.5032754,91.79232232,0.103865579,0.0,1967.0281,-0.3770883396354896,False
1916,0.0,0.0,0.0,0.194165394,3.435732365,446.1653047,681.550228,628.136391,326.1228148,158.7694516,8.487649933,0.0,2252.861738,0.15891948655330804,False
1917,0.0,21.10711813,0.0,0.0,11.29651912,678.0407697,540.745923,1115.989279,572.4581309,552.902707,0.0,0.0,3492.540447,2.4836195975445303,True
1918,0.0,0.0,11.03512555,0.0,223.939837,292.1345939,220.574845,283.995137,76.79649308,0.0,0.44658041,0.0,1108.922612,-1.986245541992328,False
1919,1.655047119,0.0,0.0,0.0,0.0,481.0785591,884.5581275,446.0537687,240.4117838,43.47917041,1.530801773,0.0,2098.767258,-0.13004526871630528,False
1920,42.61636876,2.393320665,0.0,0.0,0.0,188.6336435,742.4566021,276.5107919,129.3672547,66.09744909,0.0,0.0,1448.075431,-1.3502512393973594,False
1921,0.0,0.0,0.0,0.0,0.0,538.9768298,1135.03441,292.2584411,355.5080224,8.06174694,0.0,0.0,2329.83945,0.3032714822204774,False
1922,0.0,0.0,0.0,2.725738972,0.102179736,624.8790624,881.6039224,163.6224408,252.9286002,16.98972708,9.37315385,0.966011822,1953.190837,-0.4030365846108855,False
1923,0.0,0.252415001,0.0,0.0,0.0,123.3952695,1119.091645,247.9889343,437.2342987,0.0,0.0,0.0,1927.962563,-0.4503457550775028,False
1924,0.0,0.0,0.162535921,0.0,0.0,235.4754266,498.8271006,512.3221435,339.4409819,0.194165394,3.693861246,0.0,1590.116215,-1.0838901057158417,False
1925,0.0,0.0,0.894289628,0.0,86.60780831,663.6154607,282.2739187,268.0023925,106.1296136,6.693493605,12.5386769,0.0,1426.755654,-1.3902310241580316,False
